Date,Adj Close,cash-rate
2021-07-23,0.73805,0.10
2021-07-26,0.736822,0.10
2021-07-27,0.738825,0.10
2021-07-28,0.736637,0.10
2021-07-29,0.73771,0.10
2021-07-30,0.73961,0.10
2021-08-02,0.734231,0.10
2021-08-03,0.73606,0.10
2021-08-04,0.73968,0.10
2021-08-05,0.7383,0.10
2021-08-06,0.7403,0.10
2021-08-09,0.733783,0.10
2021-08-10,0.7331,0.10
2021-08-11,0.73438,0.10
2021-08-12,0.737409,0.10
2021-08-13,0.73415,0.10
2021-08-16,0.736572,0.10
2021-08-17,0.734107,0.10
2021-08-18,0.72556,0.10
2021-08-19,0.7231,0.10
2021-08-20,0.71462,0.10
2021-08-23,0.71398,0.10
2021-08-24,0.72096,0.10
2021-08-25,0.72488,0.10
2021-08-26,0.72766,0.10
2021-08-27,0.72384,0.10
2021-08-30,0.731598,0.10
2021-08-31,0.729123,0.10
2021-09-01,0.73179,0.10
2021-09-02,0.7368,0.10
2021-09-03,0.73993,0.10
2021-09-06,0.744502,0.10
2021-09-07,0.743671,0.10
2021-09-08,0.73866,0.10
2021-09-09,0.736377,0.10
2021-09-10,0.737083,0.10
2021-09-13,0.736811,0.10
2021-09-14,0.73659,0.10
2021-09-15,0.73171,0.10
2021-09-16,0.73412,0.10
2021-09-17,0.72915,0.10
2021-09-20,0.726401,0.10
2021-09-21,0.72597,0.10
2021-09-22,0.7228,0.10
2021-09-23,0.7234,0.10
2021-09-24,0.72998,0.10
2021-09-27,0.726612,0.10
2021-09-28,0.72806,0.10
2021-09-29,0.724428,0.10
2021-09-30,0.718,0.10
2021-10-01,0.723118,0.10
2021-10-04,0.727521,0.10
2021-10-05,0.72897,0.10
2021-10-06,0.729075,0.10
2021-10-07,0.728141,0.10
2021-10-08,0.73168,0.10
2021-10-11,0.72949,0.10
2021-10-12,0.73484,0.10
2021-10-13,0.733509,0.10
2021-10-14,0.738607,0.10
2021-10-15,0.74138,0.10
2021-10-18,0.742479,0.10
2021-10-19,0.7417,0.10
2021-10-20,0.747719,0.10
2021-10-21,0.75153,0.10
2021-10-22,0.74637,0.10
2021-10-25,0.74691,0.10
2021-10-26,0.74918,0.10
2021-10-27,0.751298,0.10
2021-10-28,0.750075,0.10
2021-10-29,0.75316,0.10
2021-11-01,0.751829,0.10
2021-11-02,0.75205,0.10
2021-11-03,0.7439,0.10
2021-11-04,0.7469,0.10
2021-11-05,0.740933,0.10
2021-11-08,0.73959,0.10
2021-11-09,0.74148,0.10
2021-11-10,0.73762,0.10
2021-11-11,0.733412,0.10
2021-11-12,0.7292,0.10
2021-11-15,0.733251,0.10
